Countries,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,29.5,25.9,27,29,26,28.5,27.5,24.3,26.3,25.8
China,30,21.4,21.6,27,27.3,26.9,29.3,26.7,30.8,27.4
United States,16.3,12.9,17.2,20.9,18.4,19.9,14.6,17.5,14.5,12.1
Brazil,8,7.2,5.9,7,9.2,13,13.8,10.8,11.7,14.6
Pakistan,10.6,7,7.7,8.2,7.6,6.2,4.5,6,3.9,7
Australia,2.3,2.9,4,4.8,2.2,0.625,2.8,5.8,5.8,5
Turkey,3.2,2.6,3.2,4,3.8,3.5,2.9,3.8,4.9,3.2
Uzbekistan,3.9,3.8,4.4,4.4,2.8,2.4,3.2,2.9,3.2,2.9
Argentina,1.1,0.873,0.804,1.1,1.1,1.4,1.4,1.4,1.2,1.6
Mali,1,0.975,1.2,1.4,1.3,1.4,0.3,1.4,0.735,1.3
Rest,14,11.4,12,13.8,14.2,14.7,13.5,13.6,13.5,12.8
